traderid,tradedate,tradetime,productid,productname,productgroupid,exchangegroupid,brokergroupid,exchclearingacctid,quantitylots,quantityunits,unit,price,contractmonth,strike,specialComms,spread,b/s,RMKS,BKR
,,21:11:21,,FE,,1,3,2,150.0,15000.0,,101.65,Oct25,,,,B,fis,
,,21:11:21,,FE,,1,3,2,150.0,15000.0,,101.65,Nov25,,,,B,fis,
,,21:11:22,,FE,,1,3,2,150.0,15000.0,,101.65,Dec25,,,,B,fis,
,,21:41:09,,FE,,1,3,2,300.0,30000.0,,103.35,Sep25,,,,B,fis,
,,21:42:11,,FE,,1,3,2,100.0,10000.0,,102.5,Oct25,,,,B,fis,
,,21:42:11,,FE,,1,3,2,100.0,10000.0,,102.5,Nov25,,,,B,fis,
,,21:42:11,,FE,,1,3,2,100.0,10000.0,,102.5,Dec25,,,,B,fis,
,,21:58:31,,FE,,1,3,2,500.0,50000.0,,102.55,Aug25,,,,B,fis,
,,09:02:23,,FE,,1,3,2,50.0,5000.0,,101.4,Oct25,,,,S,ssy,
,,09:02:24,,FE,,1,3,2,50.0,5000.0,,101.4,Nov25,,,,S,ssy,
,,09:02:25,,FE,,1,3,2,50.0,5000.0,,101.4,Dec25,,,,S,ssy,
,,09:06:55,,FE,,1,3,2,500.0,50000.0,,102.1,Aug25,,,,B,fis,
,,09:10:53,,FE,,1,3,2,250.0,25000.0,,102,Aug25,,,,B,fis,
,,09:14:29,,FE,,1,3,2,100.0,10000.0,,99.6,Mar26,,,,S,enmore,
,,09:19:48,,FE,,1,3,2,100.0,10000.0,,102.05,Aug25,,,,S,bpi,
,,09:20:23,,FE,,1,3,2,100.0,10000.0,,99.5,Mar26,,,,S,enmore,
,,09:26:26,,FE,,1,3,2,250.0,25000.0,,102.2,Aug25,,,,B,fis,
,,10:07:17,,FE,,1,3,2,100.0,10000.0,,102.7,Oct25,,,,B,fis,
,,11:23:25,,FE,,1,3,2,250.0,25000.0,,101.8,Oct25,,,,S,icap,
,,11:25:40,,FE,,1,3,2,100.0,10000.0,,101.7,Aug25,,,,S,bpi,
,,11:26:36,,FE,,1,3,2,100.0,10000.0,,101.75,Sep25,,,,S,bpi,
,,13:44:25,,FE,,1,3,2,350.0,35000.0,,101.8,Aug25,,,,S,enmore,
,,13:54:18,,FE,,1,3,2,100.0,10000.0,,101.45,Sep25,,,,S,ssy,
,,14:02:19,,FE,,1,3,2,100.0,10000.0,,101.4,Sep25,,,,S,bpi,
,,14:02:19,,FE,,1,3,2,100.0,10000.0,,101.4,Sep25,,,,S,bpi,
,,14:12:25,,FE,,1,3,2,50.0,5000.0,,101,Oct25,,,,S,mysteel,
,,14:12:33,,FE,,1,3,2,250.0,25000.0,,101.25,Aug25,,,,S,fis,
,,14:12:33,,FE,,1,3,2,250.0,25000.0,,101.25,Sep25,,,,S,fis,
,,14:18:59,,FE,,1,3,2,200.0,20000.0,,101,Oct25,,,,S,enmore,
,,14:24:20,,FE,,1,3,2,80.0,8000.0,,101,Sep25,,,,S,enmore,
,,14:27:17,,FE,,1,3,2,200.0,20000.0,,100.7,Oct25,,,,S,enmore,
,,14:30:38,,FE,,1,3,2,200.0,20000.0,,100.75,Aug25,,,,S,gfi,
,,14:36:52,,FE,,1,3,2,200.0,20000.0,,100.3,Oct25,,,,B,fis,
,,14:36:52,,FE,,1,3,2,200.0,20000.0,,100.3,Nov25,,,,B,fis,
,,14:36:52,,FE,,1,3,2,200.0,20000.0,,100.3,Dec25,,,,B,fis,
,,14:36:58,,FE,,1,3,2,200.0,20000.0,,98.85,Jan26,,,,B,fis,
,,14:36:58,,FE,,1,3,2,200.0,20000.0,,98.85,Feb26,,,,B,fis,
,,14:36:58,,FE,,1,3,2,200.0,20000.0,,98.85,Mar26,,,,B,fis,
,,14:39:35,,FE,,1,3,2,1000.0,100000.0,,100.05,Dec25,,,S,S,icap,
,,14:39:35,,FE,,1,3,2,1000.0,100000.0,,101,Sep25,,,S,B,icap,
,,14:51:40,,FE,,1,3,2,20.0,2000.0,,101.2,Sep25,,,,S,enmore,
,,16:04:17,,FE,,1,3,2,100.0,10000.0,,100.55,Aug25,,,,B,ssy,
,,16:18:02,,FE,,1,3,2,100.0,10000.0,,100.9,Sep25,,,,S,bpi,
,,16:18:35,,FE,,1,3,2,30.0,3000.0,,100.7,Aug25,,,,S,enmore,
,,22:59:05,,FE,,1,3,2,150.0,15000.0,,102.1,Aug25,,,,S,FIS,
,,22:59:05,,FE,,1,3,2,150.0,15000.0,,102.1,Sep25,,,,S,FIS,
